COUNTY,PRECINCT,PRES16D,PRES16D_AB,PRES16D_AD,PRES16D_ED,PRES16D_PR,PRES16L,PRES16L_AB,PRES16L_AD,PRES16L_ED,PRES16L_PR,PRES16R,PRES16R_AB,PRES16R_AD,PRES16R_ED,PRES16R_PR,REG_VOTE
Carroll,SANDHILL (1122),578,20,350,207,1,63,1,34,28,0,1634,51,1019,561,3,2981
Carroll,CENTER POINT (1152),128,8,66,54,0,23,0,9,14,0,930,21,450,455,4,1258
Carroll,LOWELL (1163),107,10,59,38,0,22,0,9,13,0,770,17,308,444,1,1075
Carroll,MT ZION (1240),162,8,68,85,1,37,1,3,33,0,898,8,331,558,1,1413
Carroll,BURWELL (1371),149,8,58,83,0,26,0,9,17,0,655,24,237,392,2,1067
Carroll,CLEM (1483),419,16,288,115,0,69,3,31,33,2,1647,42,1025,580,0,2679
Carroll,BOWDON JUNCTION (1496),181,11,74,95,1,13,0,6,6,1,504,13,235,256,0,939
Carroll,TYUS (1533),165,7,65,92,1,25,0,7,18,0,882,21,332,528,1,1312
Carroll,FAIRFIELD (1540),632,33,303,296,0,59,4,16,39,0,1740,58,768,914,0,2899
Carroll,HULETT (1542),191,11,106,74,0,46,1,13,31,1,1158,33,601,523,1,1673
Carroll,BETHANY (501),812,28,501,279,4,74,1,39,34,0,1324,31,795,496,2,3032
Carroll,V R COUNTY SOUTH (640),299,15,182,100,2,40,1,17,22,0,1183,34,817,331,1,1961
Carroll,V R COUNTY NORTH (641),703,33,437,233,0,67,2,29,36,0,1898,84,1219,594,1,3509
Carroll,VILLA RICA CITY (642),1403,60,909,431,3,107,2,49,55,1,1673,76,1119,474,4,4405
Carroll,TEMPLE COUNTY (649),375,14,200,158,3,68,3,29,36,0,1674,53,937,682,2,2773
Carroll,TEMPLE CITY (650),530,20,253,257,0,66,2,25,39,0,1182,49,514,616,3,2349
Carroll,WHITESBURG (682),150,6,64,80,0,26,0,12,14,0,1007,29,398,578,2,1454
Carroll,ROOPVILLE (713),146,13,58,75,0,29,0,10,19,0,753,13,273,467,0,1144
Carroll,WEST CARROLLTON (714A1),1053,33,596,414,10,47,1,23,21,2,325,11,200,112,2,2281
Carroll,EAST CARROLLTON REC (714A2),371,24,229,117,1,35,2,15,18,0,517,22,346,149,0,1257
Carroll,BONNER (714A3),741,45,441,253,2,72,3,33,36,0,1138,28,823,287,0,2646
Carroll,UNIVERSITY OF W. GA (714A4),896,16,322,553,5,54,0,20,34,0,701,17,434,249,1,2367
Carroll,COUNTY ADMIN BLDG (714A5),539,22,374,142,1,86,1,45,40,0,734,30,538,164,2,1823
Carroll,TABERNACLE CHURCH (714A6),321,20,184,116,1,33,2,18,13,0,535,29,329,176,1,1147
Carroll,EMC (714BN),268,13,156,99,0,25,1,13,11,0,508,14,315,179,0,1040
Carroll,OLD CAMP CHURCH (714BW),310,9,168,133,0,51,1,22,28,0,1070,27,564,477,2,1742
Carroll,OAK GROVE (715),191,14,107,70,0,14,1,5,8,0,705,13,336,355,1,1136
Carroll,NEW HOPE (716),225,10,120,94,1,14,1,6,7,0,436,6,180,250,0,917
Catoosa,BLACKSTOCK,143,8,68,67,0,31,1,11,19,0,854,14,450,390,0,1393
Catoosa,BOYNTON,660,34,392,234,0,111,3,53,55,0,2886,51,1888,941,6,4612
Catoosa,CATOOSA KEITH,214,4,107,103,0,44,0,15,29,0,1246,19,643,583,1,1930
Catoosa,CHAMBERS,258,14,137,107,0,42,1,16,25,0,1365,19,869,474,3,2024
Catoosa,FORT OGLETHORPE,486,15,289,182,0,81,6,38,37,0,1765,52,1163,549,1,3151
Catoosa,GRAYSVILLE,442,16,244,182,0,107,1,36,70,0,1950,52,1218,679,1,3304
Catoosa,LAKEVIEW,372,17,197,158,0,69,8,29,32,0,1421,48,907,466,0,2699
Catoosa,POPLAR SPRINGS,384,16,274,94,0,88,4,41,43,0,2123,52,1433,635,3,3342
Catoosa,RINGGOLD,883,27,632,224,0,163,4,82,77,0,3412,76,2483,853,0,5774
Catoosa,WESTSIDE,658,22,461,174,1,88,3,47,38,0,2334,61,1682,591,0,4296
Catoosa,WOODSTATION,271,9,136,125,1,57,1,20,36,0,1520,16,837,666,1,2306
Charlton,Folkston,780,37,405,336,2,20,3,12,5,0,644,34,428,182,0,1900
Charlton,GA Bend,17,4,2,11,0,1,1,0,0,0,272,24,45,201,2,399
Charlton,St. George,32,4,9,19,0,5,0,0,5,0,393,22,133,238,0,546
Charlton,American Legion,42,5,23,14,0,8,0,3,5,0,450,27,278,145,0,601
Charlton,Homeland,59,4,27,28,0,6,1,1,4,0,423,24,255,144,0,648
Charlton,Folkston Fire,48,0,34,14,0,10,2,6,2,0,411,16,270,123,2,587
Charlton,Racepond,12,1,6,5,0,2,0,1,1,0,167,2,78,86,1,217
Charlton,Winokur,14,0,7,7,0,2,0,0,2,0,191,9,80,101,1,256
Chatham,1-01 First Presbyterian Church2826,104,397,2,119,1285,2331,15,0,10,129,767,193,2,52,917,670
Chatham,1-05 J E A Building,735,51,249,434,1,89,2,10,77,0,559,32,143,384,0,1829
Chatham,1-06 Central Church of Christ 1752,43,267,0,54,563,1409,6,0,4,53,242,257,0,61,793,475
Chatham,1-08 Grace United Methodist Church1384,28,191,0,23,437,1074,7,0,3,38,223,170,0,36,599,393
Chatham,1-09 Immanuel Baptist Church,217,10,93,114,0,10,0,1,9,0,160,8,57,95,0,596
Chatham,1-10 St. Thomas Episcopal Church943,24,73,0,14,199,794,3,0,0,27,112,138,0,18,568,412
Chatham,1-12 Isle of Hope Baptist Center1747,45,148,0,34,417,1449,4,0,5,54,235,303,0,52,978,623
Chatham,1-13 The Sanctuary,294,8,117,169,0,39,0,8,31,0,476,17,146,313,0,1052
Chatham,1-14 St. Luke United Methodist Church1417,25,189,0,26,391,1157,6,0,1,32,176,284,1,27,734,422
Chatham,1-16 Ferguson Ave Baptist Church2261,48,162,0,10,448,1836,8,0,3,59,276,353,2,38,1329,936
Chatham,1-17 Islands Christian Church 2646,67,256,0,71,628,2165,17,0,4,88,301,582,0,74,1449,793
Chatham,2-02 Blackshear Community Center1403,21,171,3,33,634,808,3,0,1,25,427,51,0,4,149,94
Chatham,2-03 W. W. Law Center,675,47,168,459,1,28,0,5,23,0,108,3,35,70,0,1340
Chatham,2-04 Fellowship of Love Community Church2562,25,470,1,94,1537,1632,6,0,0,31,972,14,0,5,64,45
Chatham,2-05 Holy Spirit Lutheran Church1712,28,266,1,45,953,1096,7,0,0,35,641,36,0,3,108,69
Chatham,2-06 Eli Whitney Complex,245,13,47,185,0,10,1,1,8,0,37,2,8,27,0,474
Chatham,2-07 Christ Community Church at Morningside2270,44,403,2,32,1278,1527,8,0,0,52,841,53,1,6,197,137
Chatham,2-09 Salvation Army,1553,65,518,970,0,55,1,8,46,0,202,12,58,132,0,2723
Chatham,2-11 Stillwell Towers,768,45,205,518,0,29,0,12,17,0,153,8,41,104,0,1490
Chatham,2-12 Williams Court,657,38,169,448,2,40,0,6,34,0,96,4,25,67,0,1257
Chatham,3-01 Old Courthouse,168,9,54,105,0,14,0,2,12,0,123,4,32,87,0,413
Chatham,3-02 Rose of Sharon,614,37,193,382,2,45,0,6,39,0,361,15,106,240,0,1394
Chatham,3-03 Savannah High School,472,16,118,338,0,7,0,0,7,0,58,2,12,44,0,904
Chatham,3-04 1st African Baptist Church1273,6,173,0,46,772,824,1,0,1,8,553,9,0,2,44,33
Chatham,3-05 Aldersgate Youth Center,733,27,182,524,0,48,0,7,41,0,257,13,63,181,0,1629
Chatham,3-08 Jenkins High School,462,20,158,283,1,14,1,2,11,0,217,18,62,137,0,943
Chatham,3-09 Cokesbury Methodist Church568,9,56,0,12,171,456,2,1,0,12,103,49,0,14,273,210
Chatham,3-10 Bible Baptist Church,1227,50,452,723,2,27,1,7,18,1,200,10,58,132,0,2145
Chatham,3-11 Southside Baptist Church 1145,13,181,1,11,609,780,6,0,0,19,416,43,0,7,152,102
Chatham,3-12 Thunderbolt Municipal Complex1380,31,140,0,38,552,1042,9,0,1,41,374,89,2,23,449,335
Chatham,3-13 New Covenant Seventh Day Adventist Church3072,25,356,0,38,1289,1779,10,0,0,35,895,166,0,7,455,282
Chatham,3-14 Oglethorpe Charter Academy1886,26,507,1,44,1063,1374,8,0,0,34,511,107,1,16,277,153
Chatham,3-15 Eli Whitney Complex,253,10,89,154,0,13,1,3,9,0,265,25,103,136,1,633
Chatham,4-02 Frank Murray Community Center1880,49,192,0,21,485,1413,7,0,1,57,272,281,3,25,871,562
Chatham,4-04 Lighthouse Baptist Church1927,43,122,0,12,423,1553,10,0,1,54,289,298,0,35,1076,743
Chatham,4-05 Saint Francis Episcopal,437,18,148,271,0,65,2,13,50,0,1052,44,329,679,0,1926
Chatham,4-06 First Baptist Church of Island1803,46,158,0,18,383,1466,12,0,2,60,207,345,4,31,1023,643
Chatham,4-07 Wilmington Island Methodist Church2685,61,217,0,34,629,2113,25,0,2,88,378,457,2,47,1396,890
Chatham,4-08 Wilmington Island Presbyterian Church2314,43,162,1,21,473,1859,15,0,2,60,289,490,1,51,1326,784
Chatham,4-10 Guard House Community Center1270,26,72,3,17,362,1047,3,0,3,32,270,91,0,20,653,542
Chatham,4-11 Tybee School Cafeteria,446,24,83,339,0,26,0,6,20,0,692,30,105,555,2,1458
Chatham,4-12 St. Peters Episcopal Church2072,29,178,0,32,519,1777,12,0,4,45,309,294,0,59,1213,860
Chatham,4-13 Skidaway Island Presbyterian Church2136,28,189,0,40,524,1861,7,0,1,36,295,339,0,65,1301,897
Chatham,4-14 Skidaway Island Methodist Church1522,21,173,1,29,405,1304,7,0,0,28,202,209,3,26,871,633
Chatham,4-15 Skidaway Island State Park1649,18,168,0,43,435,1405,8,0,2,28,224,230,0,50,942,662
Chatham,5-01 Bartlett Middle School,396,9,138,249,0,10,0,1,9,0,133,10,41,82,0,819
Chatham,5-02 Senior Citizens Center,360,20,90,250,0,8,1,1,6,0,34,1,11,22,0,650
Chatham,5-03 Butler Presbyterian Ed. Building878,7,119,0,43,517,536,1,0,0,8,355,4,0,0,11,7
Chatham,5-05 Liberty City Community Center2087,12,461,0,104,1444,1480,2,0,0,14,879,7,0,0,22,15
Chatham,5-06 Seed Church,1010,36,371,602,1,27,0,12,15,0,165,13,51,101,0,1994
Chatham,5-07 Elks Lodge,689,25,238,425,1,30,5,4,21,0,215,3,73,139,0,1434
Chatham,5-08 Savannah Primitive Baptist Church1413,27,244,1,11,662,997,4,0,1,32,406,85,0,15,303,203
Chatham,5-10 Jonesville Baptist Church2836,12,594,2,124,1744,1826,5,0,0,17,1024,26,0,6,65,33
Chatham,5-11 Largo Tibet School,1107,56,424,621,6,34,1,7,26,0,347,50,109,188,0,2180
Chatham,6-01 White Bluff Presbyterian Church1412,49,205,1,22,586,1018,7,0,1,57,358,98,2,13,375,262
Chatham,6-02 Windsor Forest Baptist School1985,37,275,0,32,669,1629,8,0,1,46,362,269,0,27,914,618
Chatham,6-03 Crusader Community Center2064,35,391,1,59,871,1572,12,0,7,54,420,250,0,27,647,370
Chatham,6-05 Windsor Elem./ Golden Age1464,29,237,1,21,617,1042,6,0,3,38,358,148,0,14,387,225
Chatham,6-06 The Light,360,5,132,223,0,24,0,4,20,0,398,17,137,244,0,1088
Chatham,6-08 Savannah Commons,808,34,324,450,0,39,3,7,29,0,317,17,115,185,0,1666
Chatham,6-09 Trinity Lutheran Church,1187,33,455,699,0,94,3,26,65,0,935,40,356,539,0,3077
Chatham,6-10 Georgetown Elementary,1202,60,507,632,3,82,7,16,59,0,1193,41,424,727,1,3221
Chatham,6-11 Coastal Georgia Botanical Gardens3251,63,575,1,43,1342,2209,19,0,6,88,723,220,3,30,779,526
Chatham,7-01 Garden City Senior Center1104,12,76,0,20,318,790,0,0,0,12,222,95,0,22,460,343
Chatham,7-03 Preston B. Edwards Gymnasium1041,22,31,0,18,208,757,4,1,1,28,159,50,2,17,521,452
Chatham,7-04 Lakeshore Community Center3337,51,469,0,37,1439,2201,11,0,0,62,933,137,0,14,700,549
Chatham,7-05 Woodlawn Baptist Church,330,7,95,226,2,21,0,2,19,0,273,8,53,212,0,980
Chatham,7-06 Pooler City Hall,667,44,235,388,0,51,2,11,38,0,900,43,242,612,3,2310
Chatham,7-07 Rothwell Baptist Church,1268,68,521,679,0,105,1,25,78,1,2022,76,602,1343,1,4962
Chatham,7-08 Bloomingdale Community Center1868,41,46,0,18,226,1384,7,0,3,51,162,197,0,35,1107,875
Chatham,7-09 Savannah Holy Church of God1858,43,253,0,15,616,1293,8,0,1,52,348,173,0,16,625,436
Chatham,7-10 Progressive Recreation,1075,35,492,547,1,90,2,20,68,0,728,35,275,418,0,2832
Chatham,7-11 Savannah First Seventh Day Adventist Church2953,89,351,1,22,1069,2036,17,0,3,109,695,168,0,12,858,678
Chatham,7-12 Pooler Church,1518,67,677,771,3,89,2,25,61,1,1635,51,600,980,4,4443
Chatham,7-13 Southside Fire Training Center2047,24,253,0,28,547,1716,17,0,5,46,266,447,0,51,1123,625
Chatham,7-14 Coastal Cathedral Church of God5168,88,1110,6,92,2351,3743,26,0,0,114,1143,446,0,72,1278,760
Chatham,8-01 Civic Center,277,12,80,180,5,12,0,4,8,0,70,2,20,47,1,725
Chatham,8-02 Hellenic Center,728,18,215,494,1,36,1,7,28,0,143,2,28,113,0,1379
Chatham,8-03 Silk Hope Baptist Church 582,5,35,0,1,134,416,2,0,0,7,98,52,0,11,275,212
Chatham,8-05 W Broad YMCA,642,16,135,491,0,8,1,0,7,0,17,0,4,13,0,1173
Chatham,8-06 Mary Flournoy Golden Age Center833,5,129,0,32,456,471,1,0,1,7,295,1,0,1,8,6
Chatham,8-07 Woodville Tompkins Technical Institute496,6,61,0,17,312,330,0,0,0,6,234,2,0,0,12,10
Chatham,8-08 Resurrection of Our Lord Church1395,6,185,1,58,841,863,0,0,1,7,597,1,0,2,15,12
Chatham,8-09 Moses Jackson Center,701,34,138,529,0,15,1,1,13,0,11,1,1,9,0,1121
Chatham,8-10 Carver Heights Community Center1572,6,221,0,64,989,1006,1,0,0,7,704,2,0,1,10,7
Chatham,8-11 Butler School,929,84,281,564,0,10,0,2,8,0,6,0,0,6,0,1221
Chatham,8-12 Beach High School,434,19,156,259,0,16,0,4,12,0,104,5,38,60,1,882
Chatham,8-13 Savannah Christian School639,12,43,0,8,131,405,3,0,1,16,80,75,0,11,258,172
Chatham,8-15 Garden City Recreation Center1188,5,162,0,46,693,764,0,0,0,5,485,15,1,2,66,48
Chattahoochee,Chattahoochee Acvitity Center 4247,27,284,1,29,594,1390,16,0,2,45,280,292,5,34,751,420
Chattooga,CLOUDLAND,58,3,30,25,0,5,0,3,2,0,158,9,43,106,0,275
Chattooga,PENNVILLE,48,3,21,24,0,3,0,1,2,0,272,8,139,125,0,488
Chattooga,COLDWATER,53,1,10,42,0,3,0,1,2,0,106,3,51,52,0,203
Chattooga,DIRTSELLER,16,0,3,13,0,0,0,0,0,0,106,3,42,61,0,156
Chattooga,HAYWOOD,15,2,1,12,0,3,0,1,2,0,89,0,15,74,0,133
Chattooga,LYERLY,94,4,34,56,0,12,0,2,10,0,445,7,186,252,0,740
Chattooga,TRION,306,14,176,116,0,36,1,12,23,0,1589,25,861,702,1,2686
Chattooga,SUMMERVILLE,759,40,453,265,1,67,4,32,31,0,2099,59,1390,648,2,4046
Chattooga,TELOGA,40,3,14,23,0,10,0,8,2,0,320,5,128,187,0,464
Chattooga,DIRTTOWN,96,8,35,53,0,11,0,2,9,0,455,7,166,280,2,690
Chattooga,SEMINOLE,5,0,2,3,0,5,0,2,3,0,77,0,21,56,0,114
Chattooga,SUBLIGNA,30,0,12,18,0,5,0,0,5,0,295,5,91,199,0,391
Chattooga,ALPINE,93,4,36,53,0,17,1,5,11,0,451,13,146,292,0,713
Cherokee,AIR ACRES,491,29,261,201,0,105,4,40,61,0,1285,87,646,551,1,2378
Cherokee,ARNOLD MILL,618,32,315,271,0,151,13,65,73,0,2184,108,1217,859,0,3560
Cherokee,AVERY,268,25,160,83,0,86,3,33,50,0,1661,68,1047,546,0,2445
Cherokee,BALL GROUND,279,9,175,95,0,79,1,47,31,0,1941,55,1361,524,1,2800
Cherokee,BASCOMB,664,23,370,271,0,120,7,42,71,0,1899,77,1064,758,0,3357
Cherokee,BELLS,1068,42,517,509,0,182,11,57,113,1,1853,82,798,972,1,4038
Cherokee,BOOTH,701,54,409,237,1,103,8,42,53,0,1949,120,1217,611,1,3354
Cherokee,BRADSHAW,557,36,377,144,0,125,6,67,52,0,2307,108,1586,613,0,3521
Cherokee,BRIDGEMILL,707,48,370,289,0,126,10,48,68,0,2597,144,1549,903,1,4187
Cherokee,CANTON,1004,82,589,333,0,121,4,65,52,0,2389,117,1553,719,0,4665
Cherokee,CARMEL,750,45,338,367,0,124,6,49,69,0,1384,64,724,596,0,3139
Cherokee,WOODSTOCK,1177,72,733,372,0,181,7,90,84,0,2138,78,1337,723,0,4697
Cherokee,CLAYTON,317,7,203,107,0,87,4,30,53,0,1842,60,1137,645,0,2774
Cherokee,CONNS CREEK,46,4,22,20,0,12,2,1,9,0,424,8,220,196,0,617
Cherokee,DEER RUN,490,29,248,213,0,95,4,39,52,0,1407,53,654,699,1,2458
Cherokee,DIXIE,964,69,461,433,1,196,9,73,114,0,2144,121,1154,868,1,4384
Cherokee,FREEHOME,525,33,265,227,0,125,12,34,79,0,2851,138,1450,1263,0,4262
Cherokee,HICKORY FLAT,819,38,477,303,1,168,11,71,86,0,2600,110,1635,855,0,4424
Cherokee,HIGHTOWER,280,19,161,100,0,84,3,32,49,0,1836,65,1072,699,0,2646
Cherokee,HILLSIDE,498,34,298,166,0,94,6,31,57,0,1722,95,1026,601,0,2819
Cherokee,HOLLY SPRINGS,292,16,147,129,0,75,1,28,45,1,1224,41,668,515,0,2060
Cherokee,KELLOGG,758,31,336,391,0,186,6,63,117,0,2060,82,1003,973,2,3943
Cherokee,LIBERTY,1236,59,707,469,1,238,10,102,126,0,3206,158,1894,1152,2,6086
Cherokee,LITTLE RIVER,1458,126,804,528,0,200,14,89,97,0,2791,224,1610,956,1,5549
Cherokee,MACEDONIA,523,36,284,203,0,100,2,47,51,0,2437,83,1546,808,0,3648
Cherokee,MOUNTAIN ROAD,432,26,235,171,0,100,4,48,48,0,1566,66,841,659,0,2584
Cherokee,OAK GROVE,458,21,211,226,0,93,4,35,54,0,1624,72,757,795,0,2806
Cherokee,R M MOORE,227,28,107,92,0,61,3,17,41,0,1708,43,929,736,0,2434
Cherokee,R T JONES,362,20,189,153,0,65,3,24,38,0,889,36,605,247,1,1819
Cherokee,ROSECREEK,586,39,304,243,0,125,6,46,73,0,1922,75,1050,797,0,3217
Cherokee,SALACOA,43,8,12,23,0,15,0,5,10,0,376,12,99,265,0,539
Cherokee,SIXES,428,23,230,175,0,79,3,20,56,0,1551,59,858,634,0,2444
Cherokee,SUTALLEE,204,21,68,115,0,53,1,20,32,0,1305,27,573,705,0,1874
Cherokee,TEASLEY,939,45,501,393,0,176,2,77,97,0,3464,145,1914,1404,1,5707
Cherokee,TOONIGH,913,49,482,382,0,206,10,94,102,0,2912,108,1696,1108,0,4961
Cherokee,UNION HILL,436,27,216,193,0,104,10,32,62,0,2062,87,1053,922,0,3126
Cherokee,UNIVETER,502,26,324,152,0,135,3,66,66,0,2654,107,1835,712,0,4100
Cherokee,VICTORIA,366,20,186,160,0,102,9,32,61,0,1441,43,767,629,2,2407
Cherokee,WALESKA,353,29,172,152,0,52,2,18,32,0,1260,56,600,603,1,2037
Cherokee,WILDCAT,387,20,216,151,0,107,1,50,56,0,1531,56,852,623,0,2534
Cherokee,WOODLANDS,819,88,272,458,1,132,12,27,93,0,1411,53,544,814,0,2871
Cherokee,NEESE,1286,86,658,541,1,247,8,100,139,0,2842,155,1404,1282,1,5538
Clarke,1A W'ville Train Depot,937,54,423,455,5,58,0,16,42,0,618,33,223,362,0,2128
Clarke,1B Gaines School,1271,67,735,466,3,72,5,20,47,0,705,69,348,287,1,2805
Clarke,1C Whit Davis School,905,66,526,310,3,81,4,35,42,0,500,28,222,250,0,1869
Clarke,1D Whit Davis School,1192,80,621,491,0,94,1,35,58,0,711,67,313,330,1,2385
Clarke,2A Judia J. Harris Sch,1559,74,721,755,9,42,1,18,23,0,325,22,147,156,0,2778
Clarke,2B Howard Stroud School,2038,108,1017,910,3,97,3,49,44,1,218,7,93,116,2,3776
Clarke,3A Clarke Central High,1060,64,568,428,0,48,2,17,29,0,131,9,63,59,0,2001
Clarke,3B Thomas N. Lay Park,2093,88,1267,733,5,143,0,73,70,0,642,30,340,272,0,4278
